600000 	浦发银行
600003 	ST东北高
600004 	白云机场
600005 	武钢股份
600006 	东风汽车
600007 	中国国贸
600008 	首创股份
600009 	上海机场
600010 	包钢股份
600011 	华能国际
600012 	皖通高速
600015 	华夏银行
600016 	民生银行
600017 	日照港
600018 	上港集团
600019 	宝钢股份
600020 	中原高速
600021 	上海电力
600022 	济南钢铁
600026 	中海发展
600027 	华电国际
600028 	中国石化
600029 	南方航空
600030 	中信证券
600031 	三一重工
600033 	福建高速
600035 	楚天高速
600036 	招商银行
600037 	歌华有线
600038 	哈飞股份
600039 	四川路桥
600048 	保利地产
600050 	中国联通
600051 	宁波联合
600052 	浙江广厦
600053 	中江地产
600054 	黄山旅游
600055 	万东医疗
600056 	中国医药
600058 	五矿发展
600059 	古越龙山
600060 	海信电器
600061 	中纺投资
600062 	双鹤药业
600063 	皖维高新
600064 	南京高科
600066 	宇通客车
600067 	冠城大通
600068 	葛洲坝
600069 	银鸽投资
600070 	浙江富润
600071 	凤凰光学
600072 	中船股份
600073 	上海梅林
600074 	中达股份
600075 	新疆天业
600076 	*ST华光
600077 	百科集团
600078 	澄星股份
600079 	人福科技
600080 	ST金花
600081 	东风科技
600082 	海泰发展
600083 	ST博信
600084 	ST中葡
600085 	同仁堂
600086 	东方金钰
600087 	长航油运
600088 	中视传媒
600089 	特变电工
600090 	啤酒花
600091 	明天科技
600093 	禾嘉股份
600095 	哈高科
600096 	云天化
600097 	开创国际
600098 	广州控股
600099 	林海股份
600100 	同方股份
600101 	明星电力
600102 	莱钢股份
600103 	青山纸业
600104 	上海汽车
600105 	永鼎股份
600106 	重庆路桥
600107 	美尔雅
600108 	亚盛集团
600109 	国金证券
600110 	中科英华
600111 	包钢稀土
600112 	长征电气
600113 	浙江东日
600114 	东睦股份
600115 	ST东航
600116 	三峡水利
600117 	西宁特钢
600118 	中国卫星
600119 	长江投资
600120 	浙江东方
600121 	郑州煤电
600122 	宏图高科
600123 	兰花科创
600125 	铁龙物流
600126 	杭钢股份
600127 	金健米业
600128 	弘业股份
600129 	太极集团
600130 	*ST波导
600131 	岷江水电
600132 	重庆啤酒
600133 	东湖高新
600135 	乐凯胶片
600136 	道博股份
600137 	浪莎股份
600138 	中青旅
600139 	西部资源
600141 	兴发集团
600143 	金发科技
600145 	四维控股
600146 	大元股份
600148 	长春一东
600149 	*ST建通
600150 	中国船舶
600151 	航天机电
600152 	维科精华
600153 	建发股份
600155 	*ST宝硕
600156 	华升股份
600157 	鲁润股份
600158 	中体产业
600159 	大龙地产
600160 	巨化股份
600161 	天坛生物
600162 	香江控股
600163 	福建南纸
600165 	宁夏恒力
600166 	福田汽车
600167 	联美控股
600168 	武汉控股
600169 	太原重工
600170 	上海建工
600171 	上海贝岭
600172 	黄河旋风
600173 	卧龙地产
600175 	美都控股
600176 	中国玻纤
600177 	雅戈尔
600178 	东安动力
600179 	黑化股份
600180 	*ST九发
600182 	S佳通
600183 	生益科技
600184 	新华光
600185 	*ST海星
600186 	莲花味精
600187 	ST国中
600188 	兖州煤业
600189 	吉林森工
600190 	锦州港
600191 	华资实业
600192 	长城电工
600193 	创兴置业
600195 	中牧股份
600196 	复星医药
600197 	伊力特
600198 	大唐电信
600199 	金种子酒
600200 	江苏吴中
600201 	金宇集团
600202 	哈空调
600203 	福日电子
600206 	有研硅股
600207 	ST安彩
600208 	新湖中宝
600209 	罗顿发展
600210 	紫江企业
600211 	西藏药业
600212 	江泉实业
600213 	亚星客车
600215 	长春经开
600216 	浙江医药
600217 	*ST秦岭
600218 	全柴动力
600219 	南山铝业
600220 	江苏阳光
600221 	海南航空
600222 	太龙药业
600223 	ST鲁置业
600225 	ST松江
600226 	升华拜克
600227 	赤天化
600228 	昌九生化
600229 	青岛碱业
600230 	沧州大化
600231 	凌钢股份
600232 	金鹰股份
600233 	大杨创世
600234 	*ST天龙
600235 	民丰特纸
600236 	桂冠电力
600237 	铜峰电子
600238 	海南椰岛
600239 	云南城投
600240 	华业地产
600241 	时代万恒
600242 	ST华龙
600243 	青海华鼎
600246 	万通地产
600247 	成城股份
600248 	延长化建
600249 	两面针
600250 	南纺股份
600251 	冠农股份
600252 	中恒集团
600253 	*ST天方
600255 	鑫科材料
600256 	广汇股份
600257 	大湖股份
600258 	首旅股份
600259 	ST有色
600260 	凯乐科技
600261 	浙江阳光
600262 	北方股份
600263 	路桥建设
600265 	景谷林业
600266 	北京城建
600267 	海正药业
600268 	国电南自
600269 	赣粤高速
600270 	外运发展
600271 	航天信息
600272 	开开实业
600273 	华芳纺织
600275 	ST昌鱼
600276 	恒瑞医药
600277 	亿利能源
600278 	东方创业
600279 	重庆港九
600280 	南京中商
600281 	太化股份
600282 	南钢股份
600283 	钱江水利
600284 	浦东建设
600285 	羚锐制药
600287 	江苏舜天
600288 	大恒科技
600289 	亿阳信通
600290 	华仪电气
600291 	西水股份
600292 	九龙电力
600293 	三峡新材
600295 	鄂尔多斯
600297 	美罗药业
600298 	安琪酵母
600299 	蓝星新材
600300 	维维股份
600301 	南化股份
600302 	标准股份
600303 	曙光股份
600305 	恒顺醋业
600306 	商业城
600307 	酒钢宏兴
600308 	华泰股份
600309 	烟台万华
600310 	桂东电力
600311 	荣华实业
600312 	平高电气
600313 	*ST中农
600315 	上海家化
600316 	洪都航空
600317 	营口港
600318 	巢东股份
600319 	亚星化学
600320 	振华重工
600321 	国栋建设
600322 	天房发展
600323 	南海发展
600325 	华发股份
600326 	西藏天路
600327 	大厦股份
600328 	兰太实业
600329 	中新药业
600330 	天通股份
600331 	宏达股份
600332 	广州药业
600333 	长春燃气
600335 	鼎盛天工
600336 	澳柯玛
600337 	美克股份
600338 	ST珠峰
600339 	天利高新
600340 	*ST国祥
600343 	航天动力
600345 	长江通信
600346 	大橡塑
600348 	国阳新能
600350 	山东高速
600351 	亚宝药业
600352 	浙江龙盛
600353 	旭光股份
600354 	敦煌种业
600355 	精伦电子
600356 	恒丰纸业
600358 	国旅联合
600359 	新农开发
600360 	华微电子
600361 	华联综超
600362 	江西铜业
600363 	联创光电
600365 	通葡股份
600366 	宁波韵升
600367 	红星发展
600368 	五洲交通
600369 	西南证券
600370 	三房巷
600371 	万向德农
600373 	鑫新股份
600375 	星马汽车
600376 	首开股份
600377 	宁沪高速
600378 	天科股份
600379 	宝光股份
600380 	健康元
600381 	ST贤成
600382 	广东明珠
600383 	金地集团
600385 	ST金泰
600386 	北巴传媒
600387 	海越股份
600388 	龙净环保
600389 	江山股份
600390 	金瑞科技
600391 	成发科技
600392 	太工天成
600393 	东华实业
600395 	盘江股份
600396 	金山股份
600397 	安源股份
600398 	凯诺科技
600399 	抚顺特钢
600400 	红豆股份
600403 	欣网视讯
600405 	动力源
600406 	国电南瑞
600408 	安泰集团
600409 	三友化工
600410 	华胜天成
600415 	小商品城
600416 	湘电股份
600418 	江淮汽车
600419 	ST天宏
600420 	现代制药
600421 	*ST国药
600422 	昆明制药
600423 	柳化股份
600425 	青松建化
600426 	华鲁恒升
600428 	中远航运
600429 	三元股份
600432 	吉恩镍业
600433 	冠豪高新
600435 	中兵光电
600436 	片仔癀
600438 	通威股份
600439 	瑞贝卡
600444 	国通管业
600446 	金证股份
600448 	华纺股份
600449 	赛马实业
600452 	涪陵电力
600455 	交大博通
600456 	宝钛股份
600458 	时代新材
600459 	贵研铂业
600460 	士兰微
600461 	洪城水业
600462 	ST石岘
600463 	空港股份
600466 	迪康药业
600467 	好当家
600468 	百利电气
600469 	风神股份
600470 	六国化工
600475 	华光股份
